N,time,comparisons,swaps
100,0.0006475999998656334,887,787
200,0.0022792999998273444,3262,3062
300,0.004767999999785388,7137,6837
400,0.008032500000354048,12512,12112
500,0.011122000000341359,19387,18887
600,0.01759859999992841,27762,27162
700,0.02858829999968293,37637,36937
800,0.03202370000008159,49012,48212
900,0.03576040000007197,61887,60987
1000,0.04314380000005258,76262,75262
1100,0.05288180000025022,92137,91037
1200,0.060827899999821966,109512,108312
1300,0.06790049999972325,128387,127087
1400,0.07850460000008752,148762,147362
1500,0.08899659999997311,170637,169137
1600,0.10553220000019792,194012,192412
1700,0.11505229999966105,218887,217187
1800,0.13250749999997424,245262,243462
1900,0.14338720000023386,273137,271237
2000,0.15493990000004487,302512,300512
2100,0.17596920000005412,333387,331287
2200,0.20223359999999957,365762,363562
2300,0.21028430000023945,399637,397337
2400,0.22783149999986563,435012,432612
2500,0.26097159999972064,471887,469387
2600,0.2927753999997549,510262,507662
2700,0.31194060000007084,550137,547437
2800,0.3429378999999244,591512,588712
2900,0.3773503000002165,634387,631487
3000,0.3702723999999762,678762,675762
3100,0.41750249999995503,724637,721537
3200,0.42889869999999064,772012,768812
3300,0.44435380000004443,820887,817587
3400,0.46759490000022197,871262,867862
3500,0.49336970000013025,923137,919637
3600,0.564273299999968,976512,972912
3700,0.5668574999999691,1031387,1027687
3800,0.6124683000002733,1087762,1083962
3900,0.6545477999998184,1145637,1141737
4000,0.6632346000001235,1205012,1201012
4100,0.6857684000001427,1265887,1261787
4200,0.7442685999999412,1328262,1324062
4300,0.7896046999999271,1392137,1387837
4400,0.8367784000001848,1457512,1453112
4500,0.8262516000004325,1524387,1519887
4600,0.8702862999998615,1592762,1588162
4700,0.9525730000000294,1662637,1657937
4800,0.9852400999998281,1734012,1729212
4900,0.9942735999998149,1806887,1801987
5000,1.1127551999998104,1881262,1876262
5100,1.1191533999999592,1957137,1952037
5200,1.114409600000272,2034512,2029312
5300,1.1678649999998925,2113387,2108087
5400,1.4093078000000787,2193762,2188362
5500,1.3848377000003893,2275637,2270137
5600,1.5062389999998231,2359012,2353412
5700,1.5626087999999072,2443887,2438187
5800,1.4448316000007253,2530262,2524462
5900,1.6249938999999358,2618137,2612237
6000,1.6390574999995806,2707512,2701512
6100,2.0482560999998896,2798387,2792287
6200,1.8858663000000888,2890762,2884562
6300,1.9976902000007613,2984637,2978337
6400,1.9905525999993188,3080012,3073612
6500,2.116625699999531,3176887,3170387
6600,1.8773080000000846,3275262,3268662
6700,1.9991068999997879,3375137,3368437
6800,1.9091338000007454,3476512,3469712
6900,2.0808615000005375,3579387,3572487
7000,2.013836000000083,3683762,3676762
7100,2.226315500000055,3789637,3782537
7200,2.143121500000234,3897012,3889812
7300,2.3590640000002168,4005887,3998587
7400,2.7977750000000015,4116262,4108862
7500,2.730503200000385,4228137,4220637
7600,2.6010893000002397,4341512,4333912
7700,2.9349471000004996,4456387,4448687
7800,3.7917281999998522,4572762,4564962
7900,3.0375010000007023,4690637,4682737
8000,2.702948999999535,4810012,4802012
8100,2.9846909000007145,4930887,4922787
8200,3.437864200000149,5053262,5045062
8300,3.1826138000005813,5177137,5168837
8400,3.6856463000003714,5302512,5294112
8500,3.2287343999996665,5429387,5420887
8600,3.2616646999995282,5557762,5549162
8700,3.56110020000051,5687637,5678937
8800,3.5114326999992045,5819012,5810212
8900,3.7123752999996213,5951887,5942987
9000,3.495973399999457,6086262,6077262
9100,3.579840599999443,6222137,6213037
9200,3.7199946000000637,6359512,6350312
9300,3.7301440999999613,6498387,6489087
9400,3.8048619999999573,6638762,6629362
9500,3.9266671000004862,6780637,6771137
9600,4.00771529999929,6924012,6914412
9700,4.782654499999808,7068887,7059187
9800,4.4368813999999475,7215262,7205462
9900,4.468674800000372,7363137,7353237
10000,4.7883497000002535,7512512,7502512
